"","Program/Agency Name","Project Name","Sub-Project Name","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","Total 10 Year","Ward Number","Ward","Category"
"4781","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","TSAM GENERAL",976,947,1646,1244,1545,1494,2270,1000,0,0,11122,"CW","City Wide","State of Good Repair"
"4782","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","TSAM GENERAL",1015,1162,854,293,-21,260,-369,-110,875,0,3959,"CW","City Wide","State of Good Repair"
"4783","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","INGRAM TS - FC",164,0,0,0,0,0,0,0,0,0,164,"CW","City Wide","State of Good Repair"
"4784","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","INGRAM TS",1692,-418,-399,-345,-403,289,900,2460,2331,959,7066,"CW","City Wide","State of Good Repair"
"4785","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","DISCO TS",418,0,0,0,0,0,0,0,0,0,418,"CW","City Wide","State of Good Repair"
"4786","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","TSAM GENERAL",1377,1512,847,444,491,-31,-167,121,243,2605,7442,"CW","City Wide","State of Good Repair"
"4787","Wastewater Program","HIGHLAND CREEK WWTP - SOLIDS & GAS HANDLING","BMP IMPLEMENTATION - CONSTRUCTION",1363,2280,1690,2303,749,386,363,0,0,0,9134,"CW","City Wide","Service Improvement and Enhancement"
"4788","Solid Waste Management","SWM IT Application Initiatives","SWMS Stakeholder-Customer Relationship Management",203,0,0,0,0,0,0,0,0,0,203,"CW","City Wide","Service Improvement and Enhancement"
"4789","Solid Waste Management","SWM IT Application Initiatives","DPO Management Solution",166,0,0,0,0,0,0,0,0,0,166,"CW","City Wide","Service Improvement and Enhancement"
"4790","Solid Waste Management","Long Term Waste Management Strategy","Circular Economy and Innovation",1384,1287,782,782,0,0,0,0,0,0,4235,"CW","City Wide","Service Improvement and Enhancement"
"4791","Solid Waste Management","PERPETUAL CARE OF LANDFILLS","KEELE VALLEY",0,2421,1507,330,-1551,-1500,-1500,-1500,0,0,-1793,"CW","City Wide","Legislated"
"4792","Solid Waste Management","Dufferin SSO Facility","Dufferin SSO Facility",-2215,11,0,0,0,0,0,0,0,0,-2204,"CW","City Wide","Growth Related"
"4793","Solid Waste Management","IT Corporate Initiatives","Work Management System (WMS) Implementation",845,0,0,0,0,0,0,0,0,0,845,"CW","City Wide","Service Improvement and Enhancement"
"4794","Solid Waste Management","Green Lane Landfill Development","Cell Excavation & Base Construction",0,5445,5445,4168,0,0,0,0,0,0,15058,"CW","City Wide","Legislated"
"4795","Solid Waste Management","Green Lane Landfill Development","Engineering & Monitoring",-601,0,0,0,0,0,0,0,0,0,-601,"CW","City Wide","Legislated"
"4796","Wastewater Program","SWM END OF PIPE FACILITIES","NORTH TORONTO CSO CONSTR",33,44,222,89,0,0,0,0,0,0,388,"CW","City Wide","Service Improvement and Enhancement"
"4797","Wastewater Program","SWM END OF PIPE FACILITIES","EARL BALES PARK SWM FACILITY - PHASE 2",57,0,0,0,0,0,0,0,0,0,57,"CW","City Wide","Service Improvement and Enhancement"
"4798","Wastewater Program","HIGHLAND CREEK WWTP UPGRADES","LIQUID TRAIN REPAIRS - PHASE 2",5,200,2000,7000,7000,7000,5900,0,0,0,29105,"CW","City Wide","State of Good Repair"
"4799","Wastewater Program","NEW SEWER CONSTRUCTION","SHEPPARD SANITARY SEWER AT EAST DON STS",2779,1131,0,0,0,0,0,0,0,0,3910,"CW","City Wide","Growth Related"
"4800","Wastewater Program","NEW SEWER CONSTRUCTION","NEW SEWERS",300,0,0,0,0,0,0,0,0,0,300,"CW","City Wide","Growth Related"
"4801","Wastewater Program","STREAM RESTORATION & EROSION CONTROL","CRITICAL REPAIRS",2114,1863,608,100,20,20,190,460,170,0,5545,"CW","City Wide","State of Good Repair"
"4802","Wastewater Program","OPERATIONAL SUPPORT","DISTRICT OPERATIONS FACILITY UPGRADES",9972,8538,1600,20,5,0,0,0,0,0,20135,"CW","City Wide","Service Improvement and Enhancement"
"4803","Wastewater Program","OPERATIONAL SUPPORT","NEW FLEET PURCHASES",250,500,0,0,0,0,0,0,0,0,750,"CW","City Wide","Service Improvement and Enhancement"
"4804","Wastewater Program","SEWAGE PUMPING STATION UPGRADES","SPS UPGRADES - GROUP 8",0,46,638,638,1367,7745,7745,5832,1914,0,25925,"CW","City Wide","Legislated"
"4805","Wastewater Program","HUMBER WWTP - LIQUID TREATMENT & HANDLING","SECONDARY TREATMENT UPGRADES - SOUTH - ENGINEERING",514,13,13,20,24,0,0,0,0,0,584,"CW","City Wide","State of Good Repair"
"4806","Wastewater Program","HUMBER WWTP - LIQUID TREATMENT & HANDLING","SECONDARY TREATMENT UPGRADES - SOUTH - ENGINEERING",-287,448,-2,-4,-9,0,0,0,0,0,146,"CW","City Wide","State of Good Repair"
"4807","Wastewater Program","SEWAGE PUMPING STATION UPGRADES","ELLIS AND SOUTHPORT",3350,4110,3480,65,5,0,0,0,0,0,11010,"CW","City Wide","State of Good Repair"
"4808","Wastewater Program","SEWAGE PUMPING STATION UPGRADES","SPS UPGRADES - GROUP 8",0,-46,-638,-592,-717,-7095,-5424,1131,5049,6870,-1462,"CW","City Wide","Legislated"
"4809","Wastewater Program","WESTERN BEACHES RETROFIT","WESTERN BEACHES RETROFIT",1513,947,297,4,0,0,0,0,0,0,2761,"CW","City Wide","State of Good Repair"
"4810","Wastewater Program","HUMBER WWTP UPGRADES","DIGESTERS CLEANING REHAB",1417,0,0,0,0,0,0,0,0,0,1417,"CW","City Wide","State of Good Repair"
"4811","Wastewater Program","HUMBER WWTP UPGRADES","HVAC UPGRADES",117,0,0,0,0,0,0,0,0,0,117,"CW","City Wide","State of Good Repair"
"4812","Wastewater Program","HUMBER WWTP UPGRADES","SOUTH PRIMARY TANK LONG & CROSS COLLECTOR",10620,1150,498,10,0,0,0,0,0,0,12278,"CW","City Wide","State of Good Repair"
"4813","Wastewater Program","SEWER SYSTEM REHABILITATION","LARGE DIAMETER CSP RENEWAL",1750,2000,3750,3750,3750,2000,0,0,0,0,17000,"CW","City Wide","State of Good Repair"
"4814","Wastewater Program","OPERATIONAL SUPPORT","PCS UPGRADES FOR WASTEWATER TREATMENT",1824,30,0,0,0,0,0,0,0,0,1854,"CW","City Wide","Service Improvement and Enhancement"
"4815","Wastewater Program","WET WEATHER FLOW MP","WWFMP IMPLEMENTATION - DESIGN",-526,457,27,3,1,1,0,0,0,0,-37,"CW","City Wide","Service Improvement and Enhancement"
"4816","Wastewater Program","WET WEATHER FLOW MP","SWM CONVEYANCE 2017",-1367,-233,0,0,0,0,0,0,0,0,-1600,"CW","City Wide","Service Improvement and Enhancement"
"4817","Wastewater Program","WET WEATHER FLOW MP","GREEN STREETS",188,59,4,11,11,11,0,0,0,0,284,"CW","City Wide","Service Improvement and Enhancement"
"4818","Wastewater Program","WET WEATHER FLOW MP","GREEN STREETS",1751,601,46,114,114,114,0,0,0,0,2740,"CW","City Wide","Service Improvement and Enhancement"
"4819","Wastewater Program","HIGHLAND CREEK WWTP - ODOUR CONTROL","ODOUR CONTROL UPGRADES - PHASE 1 ENG",18,5,0,0,0,0,0,0,0,0,23,"CW","City Wide","Service Improvement and Enhancement"
"4820","Wastewater Program","ASHBRIDGES BAY WWTP - O&M UPGRADES","MESI UPGRADES",0,0,0,170,0,0,0,0,0,0,170,"CW","City Wide","State of Good Repair"
"4821","Wastewater Program","HIGHLAND CREEK WWTP - ODOUR CONTROL","ODOUR CONTROL UPGRADES - PHASE 1 CONSTR",384,1217,0,0,0,0,0,0,0,0,1601,"CW","City Wide","Legislated"
"4822","Wastewater Program","DON & WATERFRONT TRUNK CSO","Don & Waterfront Trunk/CSO Construction - PHASE 3",439,1011,370,0,0,0,0,0,0,0,1820,"CW","City Wide","Service Improvement and Enhancement"
"4823","Wastewater Program","DON & WATERFRONT TRUNK CSO","Don & Waterfront Trunk/CSO Construction - PHASE 1",4441,2384,0,0,0,0,0,0,0,0,6825,"CW","City Wide","Service Improvement and Enhancement"
"4824","Wastewater Program","DON & WATERFRONT TRUNK CSO","DCW - MTI REGULATION/RTC - CONSTRUCTION",144,176,272,0,0,0,0,0,0,0,592,"CW","City Wide","Service Improvement and Enhancement"
"4825","Wastewater Program","ASHBRIDGES BAY WWTP REHAB","DIGESTERS CLEANING REHAB - TANKS 14, 16, 13",-638,575,0,0,0,0,0,0,0,0,-63,"CW","City Wide","State of Good Repair"
"4826","Wastewater Program","ASHBRIDGES BAY WWTP REHAB","P BLDG HEADWORKS - ENGINEER DESIGN & CONTR ADMIN",-20,26,17,0,0,0,0,0,0,0,23,"CW","City Wide","State of Good Repair"
"4827","Wastewater Program","STREAM RESTORATION & EROSION CONTROL","CRITICAL REPAIRS",-863,1110,-16,-30,58,78,-118,-120,270,15,384,"CW","City Wide","State of Good Repair"
"4828","Wastewater Program","STREAM RESTORATION & EROSION CONTROL","PARTNER PROJECTS",16,0,0,0,0,0,0,0,0,0,16,"CW","City Wide","State of Good Repair"
"4829","Wastewater Program","ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING","INTEGRATED PUMPING STATION (IPS) - ENGINEERING",9794,4922,2278,2551,2278,2187,2374,532,74,0,26990,"CW","City Wide","State of Good Repair"
"4830","Wastewater Program","TRUNK SEWER SYSTEM","BLACK CREEK STS DESIGN & CONSTRUCTION",2882,3235,-16799,-3880,6858,8392,29548,14069,2212,23250,69767,"CW","City Wide","Growth Related"
"4831","Wastewater Program","TRUNK SEWER SYSTEM","TRUNK SEWER STUDIES",625,1525,370,0,0,0,0,0,0,0,2520,"CW","City Wide","State of Good Repair"
"4832","Wastewater Program","SEWER ASSET PLANNING","SEWER ASSET PLANNING",301,23,23,18,0,0,0,0,0,0,365,"CW","City Wide","State of Good Repair"
"4833","Wastewater Program","SEWER ASSET PLANNING","SEWER ASSET PLANNING",6229,477,477,382,0,0,0,0,0,0,7565,"CW","City Wide","State of Good Repair"
"4834","Wastewater Program","SEWER ASSET PLANNING","SEWER ASSET PLANNING",-897,7851,6984,5297,4772,0,0,0,0,0,24007,"CW","City Wide","State of Good Repair"
"4835","Wastewater Program","SEWER ASSET PLANNING","SWM STUDIES",200,0,0,0,0,0,0,0,0,0,200,"CW","City Wide","Service Improvement and Enhancement"
"4836","Wastewater Program","ASHBRIDGES BAY WWTP REHAB","ABTP SOLAR PV PILOT PROJECT",721,0,0,0,0,0,0,0,0,0,721,"CW","City Wide","Service Improvement and Enhancement"
"4837","Wastewater Program","ASHBRIDGES BAY WWTP REHAB","P BLDG HEADWORKS - ENG DESIGN & CONTRACT ADMIN",28,0,0,0,0,0,0,0,0,0,28,"CW","City Wide","State of Good Repair"
"4838","Wastewater Program","BASEMENT FLOODING RELIEF","MIDTOWN TUNNEL",-1856,-5831,1825,8295,670,21147,6499,0,0,0,30749,"CW","City Wide","Service Improvement and Enhancement"
"4839","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING DESIGN - GROUP 1",-1377,-6,1376,0,0,0,0,0,0,0,-7,"CW","City Wide","Service Improvement and Enhancement"
"4840","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING DESIGN - GROUP 4 (ENGINEERING)",2251,2072,1472,1203,0,0,0,0,0,0,6998,"CW","City Wide","Service Improvement and Enhancement"
"4841","Wastewater Program","NORTH TORONTO WTP UPGRADES","NTTP - PROCESS IMPROVEMENTS",6104,1483,0,0,0,0,0,0,0,0,7587,"CW","City Wide","Service Improvement and Enhancement"
"4842","Wastewater Program","NORTH TORONTO WTP UPGRADES","OPS INTERFACE NTTP",200,200,200,0,0,0,0,0,0,0,600,"CW","City Wide","Service Improvement and Enhancement"
"4843","Wastewater Program","SWM END OF PIPE FACILITIES","Scarborough Waterfront Construction",0,0,0,0,0,-67,-67,-13,-257,54,-350,"CW","City Wide","Service Improvement and Enhancement"
"4844","Wastewater Program","HIGHLAND CREEK WWTP - BUILDING SERV & SITE DEV","HIGHLAND CREEK WWTP - HCTP Bldg Rehab and Improv",9089,19211,3548,3548,4935,6617,4702,0,0,0,51650,"CW","City Wide","State of Good Repair"
"4845","Wastewater Program","ENGINEERING","TW SALARIES",1297,1952,5175,0,0,0,0,0,0,0,8424,"CW","City Wide","State of Good Repair"
"4846","Wastewater Program","ENGINEERING","TESTING - WASTEWATER/STORMWATER",765,330,677,0,0,0,0,0,0,0,1772,"CW","City Wide","State of Good Repair"
"4847","Wastewater Program","HIGHLAND CREEK WWTP UPGRADES","CEPA COMPLIANCE - CL NOTICE - HCTP",11288,1727,34,20,0,0,0,0,0,0,13069,"CW","City Wide","Legislated"
"4848","Wastewater Program","TRUNK SEWER SYSTEM","TRUNK SEWER REHABILITATION - 2016",357,0,0,0,0,0,0,0,0,0,357,"CW","City Wide","State of Good Repair"
"4849","Wastewater Program","ASHBRIDGES BAY WWTP - SOLIDS & GAS HANDLING","BIOSOLIDS  PELLETIZER RETROFIT",0,0,0,0,0,0,0,0,400,400,800,"CW","City Wide","State of Good Repair"
"4850","Wastewater Program","ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM","OUTFALL ENGINEERING",154,231,-217,-325,7,0,0,0,0,0,-150,"CW","City Wide","Legislated"
"4851","Wastewater Program","ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM","OUTFALL CONSTRUCTION",946,652,3292,0,0,0,0,0,0,0,4890,"CW","City Wide","Legislated"
"4852","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING RELIEF - GROUP 3 (CONSTRUCTION)",539,0,0,0,0,0,0,0,0,0,539,"CW","City Wide","Service Improvement and Enhancement"
"4853","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING RELIEF - GROUP 4 (CONST DC)",-1160,3112,3226,2133,1392,2189,2104,1949,1984,483,17412,"CW","City Wide","Service Improvement and Enhancement"
"4854","Wastewater Program","HUMBER WWTP UPGRADES","COMMUNICATION SYSTEM",100,1200,400,1000,1500,400,15300,19300,13850,250,53300,"CW","City Wide","Service Improvement and Enhancement"
"4855","Wastewater Program","HUMBER WWTP UPGRADES","FLOOD PROTECTION",1280,110,9,0,0,0,0,0,0,0,1399,"CW","City Wide","Legislated"
"4856","Wastewater Program","SEWER SYSTEM REHABILITATION","CCTV INSPECTION",2699,233,257,0,0,0,0,0,0,0,3189,"CW","City Wide","State of Good Repair"
"4857","Wastewater Program","ASHBRIDGES BAY WWTP - SOLIDS & GAS HANDLING","PRIMARY SLUDGE BUFFER TANK AND HEAT RECOVERY",600,931,4400,600,15,0,0,0,0,0,6546,"CW","City Wide","Service Improvement and Enhancement"
"4858","Water Program","DIST W/M REPLACEMENT","2022-2024 WATERMAIN UPGRADES",-698,3166,-156,0,0,0,0,0,0,0,2312,"CW","City Wide","Growth Related"
"4859","Water Program","TRUNK WATERMAIN EXPANSION","JOS - WM from Scar PS to St. Clair & Midland (ENG)",-21,40,0,0,0,0,0,0,0,0,19,"CW","City Wide","Growth Related"
"4860","Water Program","TRUNK WATERMAIN EXPANSION","JOS - WM from Scar PS to St. Clair & Midl (CONST)",-362,824,0,0,0,0,0,0,0,0,462,"CW","City Wide","Growth Related"
"4861","Water Program","ISLAND W.T.P. R&R","ISLAND FLOODING RESILIENCY",1195,0,0,0,0,0,0,0,0,0,1195,"CW","City Wide","State of Good Repair"
"4862","Water Program","WT&S PLANTWIDE","STANDBY POWER - PHASE 2 - CONSTRUCTION",17036,23657,14772,363,0,0,0,0,0,0,55828,"CW","City Wide","Service Improvement and Enhancement"
"4863","Water Program","HORGAN TRUNK MAIN EXPANSION","DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Engineering",742,600,510,378,23,0,0,0,0,0,2253,"CW","City Wide","Growth Related"
"4864","Water Program","HORGAN TRUNK MAIN EXPANSION","DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Engineering",495,400,340,252,15,0,0,0,0,0,1502,"CW","City Wide","Growth Related"
"4865","Water Program","TRANSMISSION R&R","PS REHAB - ENG",-954,-45,657,519,497,450,50,25,25,0,1224,"CW","City Wide","State of Good Repair"
"4866","Water Program","FJ HORGAN W.T.P. R&R","OZONATION SYSTEM REHAB",4338,4510,15,0,0,0,0,0,0,0,8863,"CW","City Wide","State of Good Repair"
"4867","Water Program","DIST WATER SERVICE REPAIR","WATER SERVICE REPLACEMENT - TUNNEL",-430,260,150,50,0,0,0,0,0,0,30,"CW","City Wide","Legislated"
"4868","Water Program","NEW SERVICE CONNECTIONS","NEW SERVICE CONNECTIONS - CUT REPAIRS",6779,11284,8573,0,0,0,0,0,0,0,26636,"CW","City Wide","Growth Related"
"4869","Water Program","HORGAN TRUNK MAIN EXPANSION","DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Constructi",15420,15420,4200,0,0,0,0,0,0,0,35040,"CW","City Wide","Growth Related"
"4870","Water Program","HORGAN TRUNK MAIN EXPANSION","DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Constructi",-10280,-10280,6520,0,0,0,0,0,0,0,-14040,"CW","City Wide","Growth Related"
"4871","Water Program","ISLAND W.T.P. R&R","CHEMICAL & RESIDUALS MANAGEMENT CONST",910,1367,1293,901,443,0,0,0,0,0,4914,"CW","City Wide","Legislated"
"4872","Water Program","ISLAND W.T.P. R&R","CHEMICAL & RESIDUALS MANAGEMENT CONST",9340,14033,13267,9249,4552,0,0,0,0,0,50441,"CW","City Wide","Legislated"
"4873","Water Program","ISLAND W.T.P. R&R","CHEMICAL & RESIDUALS MANAGMENT ENGINEERING",-1303,-317,-443,200,209,131,74,71,0,0,-1378,"CW","City Wide","Legislated"
"4874","Water Program","TRANSMISSION R&R","DOWNSVIEW PS - Construction",2130,2330,760,0,0,0,0,0,0,0,5220,"CW","City Wide","Growth Related"
"4875","Water Program","TRANSMISSION R&R","SCARBOROUGH RESERVOIR SURGE TANK",7735,7213,5164,5,0,0,0,0,0,0,20117,"CW","City Wide","State of Good Repair"
"4876","Water Program","WT&S PLANTWIDE","SCRUBBER & TONNER CONNECTION IMPRO AT WTP - CONSTR",30,0,0,0,0,0,0,0,0,0,30,"CW","City Wide","Service Improvement and Enhancement"
"4877","Water Program","WT&S PLANTWIDE","STANDBY POWER - PHASE 2 - ENG",-104,8,4,4,8,55,86,40,26,7,134,"CW","City Wide","Service Improvement and Enhancement"
"4878","Water Program","BUSINESS SYSTEM INFRASTRUCTURE - PW","TECHNOLOGY IMPROVEMENTS",4672,1084,48,0,0,0,0,0,0,0,5804,"CW","City Wide","Service Improvement and Enhancement"
"4879","Water Program","BUSINESS SYSTEM INFRASTRUCTURE - PW","SCADA UPGRADES FOR WWT",-183,4089,5069,912,0,0,0,0,0,0,9887,"CW","City Wide","Service Improvement and Enhancement"
"4880","Water Program","BUSINESS SYSTEM INFRASTRUCTURE - PW","RELIABILITY IMPROVEMENT PROGRAM",-393,124,355,255,130,15,0,0,0,0,486,"CW","City Wide","Service Improvement and Enhancement"
"4881","Water Program","WATER SUSTAINABILITY PROGRAM","WATER SUSTAINABILITY PRGR (STANDBY POWER - ELLESM)",-26,141,0,0,0,0,0,0,0,0,115,"CW","City Wide","Service Improvement and Enhancement"
"4882","Water Program","ISLAND W.T.P. R&R","ISLAND PHOTOVOLTAIC SYSTEM",753,2053,10052,2052,771,0,0,0,0,0,15681,"CW","City Wide","Growth Related"
"4883","Water Program","ISLAND W.T.P. R&R","FIS - JSPS CROSS HARBOUR TUNNEL REHABILITATION",1788,0,0,0,0,0,0,0,0,0,1788,"CW","City Wide","State of Good Repair"
"4884","Water Program","ISLAND W.T.P. R&R","ISLAND PHOTOVOLTAIC SYSTEM",-513,-802,-7962,5038,4279,3297,0,0,0,0,3337,"CW","City Wide","Growth Related"
"4885","Toronto Parking Authority","St. Lawrence Market North","Acquisition St Lawrence Market North",1190,0,0,0,0,0,0,0,0,0,1190,"13","Toronto Centre","Service Improvement and Enhancement"
"4886","Toronto Parking Authority","CP 15 (JV) 50 Cumberland St Redevelopment","CP 15 (JV) 50 Cumberland St Redevelopment",-4,-10,-5,0,0,0,0,0,0,0,-19,"11","University-Rosedale","Growth Related"
"4887","Toronto Parking Authority","CP 15 (JV) 50 Cumberland St Redevelopment","CP 15 (JV) 50 Cumberland St Redevelopment",0,0,0,-7056,0,0,0,0,0,0,-7056,"11","University-Rosedale","Growth Related"
